Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
1,03.ROSO.00.3201.001,PT SHELL INDONESIA,SPKLU Shell Rest Area,ROSO,Jawa Barat,KAB. BOGOR,"SPBU Shell Rest Area, Jagorawi Toll Road KM 21",-6.2649,106.53369,,10/24/2023 13:14,Tidak,,,
2,03.ROSO.00.3172.003,PT SHELL INDONESIA,SPKLU Shell Pluit,ROSO,DKI Jakarta,KOTA ADM. JAKARTA UTARA,"SPBU Shell Pluit, Jl. Pluit Selatan Raya No. 7",-6.7329,106.47547,,10/24/2023 13:14,Tidak,,,
3,03.ROSO.00.3174.011,PT SHELL INDONESIA,SPKLU Shell Antasari,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"SPBU Shell Antasari, Jl. P. Antasari No. 68",-6.1523,106.48302,,10/24/2023 13:14,Tidak,,,
4,03.ROSO.00.3174.012,PT SHELL INDONESIA,SPKLU Shell Soepomo,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"SPBU Shell Soepomo, Jl. Prof Dr. Soepomo SH 102",-6.13519,106.50483,,10/24/2023 13:14,Tidak,,,
5,01.POSO.00.1871.012,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU IBI DARMAJAYA,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. ZA. Pagar Alam No.93, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35141",-5.377032,105.250077,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
6,01.POSO.00.5271.013,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UIW NTB,POSO,Nusa Tenggara Barat,KOTA MATARAM,Jl langko no 25-27 taman kota ampenan,-8.57717,116.081792,9/13/2024 10:43,10/1/2024 10:01,Ya,,,
7,01.POSO.00.3171.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
8,01.POSO.00.3171.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
9,01.POSO.00.3171.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
10,01.POSO.00.3174.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Bulungan,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. Sisingamangaraja No.1  RT.2 / RW.8, Gunung, Kecamatan Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta 12120",-6.239265329,106.7980628,,10/24/2023 13:14,Tidak,,,
11,01.POSO.00.3374.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Semarang,POSO,Jawa Tengah,KOTA SEMARANG,"Jl. Pemuda No.93, Semarang, Sekayu, Kecamatan Semarang Tengah, Kota Semarang, Jawa Tengah 50132",-6.97682,110.41605,,10/24/2023 13:14,Tidak,,,
12,01.POSO.00.3671.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Tangcity Mall,POSO,Banten,KOTA TANGERANG,"Jl. Jend. Sudirman No.1, Cikokol, Kecamatan Tangerang, Kota Tangerang, Banten",-6.193154,106.63355,,10/24/2023 13:14,Tidak,,,
13,01.POSO.00.3603.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU AEON Mall BSD,POSO,Banten,KAB. TANGERANG,"Jl. BSD Raya Utama, Pagedangan, Kecamatan Pagedangan, Kabupaten Tangerang, Banten",-6.304077,106.643468,,10/24/2023 13:14,Tidak,,,
14,01.POSO.00.3603.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Supermal Karawaci,POSO,Banten,KAB. TANGERANG,"Jl. Boulevard Diponegoro, Bencongan, Kecamatan Kelapa Dua, Tangerang Banten",-6.225983,106.608159,,10/24/2023 13:14,Tidak,,,
15,01.POSO.00.1801.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Rest Area KM 20B,POSO,Lampung,KAB. LAMPUNG SELATAN,"Rawi, Penengahan, Kabupaten Lampung Selatan, Provinsi Lampung",-5.725068,105.66815,,10/24/2023 13:14,Tidak,,,
16,01.POSO.00.7171.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kawasan Mega Mas Manado,POSO,Sulawesi Utara,KOTA MANADO,"Jl. Laksda John Lie, Titiwungen Selatan, Kecamatan Sario, Kota Mando, Provinsi Sulawesi Utara",1.486344,124.833872,,10/24/2023 13:14,Tidak,,,
17,01.PPOO.01.3175.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Wisma Indomobil 3,PPOO,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,"Jl. MT. Haryono No.3, Kav. 10 RW.6, Bidara Cina Kecamatan Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13330",-6.14767,106.9161753,,10/24/2023 13:14,Tidak,,,
18,01.PPOO.01.3175.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Wisma Indomobil 3,PPOO,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,"Jl. MT. Haryono No.3, Kav. 10 RW.6, Bidara Cina Kecamatan Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13330",-6.14767,106.9161753,,10/24/2023 13:14,Tidak,,,
19,01.POSO.00.3372.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PT PLN (Persero) Surakarta,POSO,Jawa Tengah,KOTA SURAKARTA,"Jl. Slamet Riyadi No.468, Purwosari, Kecamatan Laweyan, Kota Surakarta, Provinsi Jawa Tengah, 57142",-7.562761,110.798273,,10/24/2023 13:14,Tidak,,,
20,01.POSO.00.1871.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU El's Coffee Lampung,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Soekarno Hatta, Kalibalau Kencana, Kecamatan Sukabumi, Kota Bandar Lampung",-5.3937269,105.28656,,10/24/2023 13:14,Tidak,,,
21,01.POSO.00.3519.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626 A,POSO,Jawa Timur,KAB. MADIUN,"Jl. Tol Kertosono, Kecamatan Saradan, Madiun, Provinsi Jawa Timur",-7.54700347,111.7574983,,10/24/2023 13:14,Tidak,,,
22,01.POSO.00.3519.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Rest Area 626 B,POSO,Jawa Timur,KAB. MADIUN,"Jl. Tol Kertosono, Kecamatan Saradan, Madiun, Provinsi Jawa Timur",-7.548385976,111.7568681,,10/24/2023 13:14,Tidak,,,
23,01.POSO.00.3273.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Bandung Utara,POSO,Jawa Barat,KOTA BANDUNG,"Jl. Sukaasih No.2, Gegerkalong, Kecamatan Sukasari, Kota Bandung, Jawa Barat 40141",-6.8790905,107.5972058,,10/24/2023 13:14,Tidak,,,
24,01.POSO.00.7471.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Wuawua 1,POSO,Sulawesi Tenggara,KOTA KENDARI,"PT PLN (Persero) ULP Wuawua, Jl. DI. Panjaitan No. 35, Kel. Baruga, Kecamatan Lepolepo, Kota Kendari 93118",-4.01973,122.50375,,10/24/2023 13:14,Tidak,,,
25,01.POSO.00.5315.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU L-BAJO 1,POSO,Nusa Tenggara Timur,KAB. MANGGARAI BARAT,"Lokasi Parkir Kampung Ujung, Labuan Bajo, Manggarai Barat",-8.490423,119.8764667,,10/24/2023 13:14,Tidak,,,
26,01.POSO.00.3174.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kantor DJK ESDM,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. H.R Rasuna Said, Blok X 2, Kav. 7-8, Kuningan, RT.10/RW.4, Kuningan Tim, Kecamatan Setiabudi, Kota Jakarta Selatan 12950",-6.225896491,106.8335992,,10/24/2023 13:14,Tidak,,,
27,01.POSO.00.3174.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kantor DJK ESDM,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. H.R Rasuna Said, Blok X 2, Kav. 7-8, Kuningan, RT.10/RW.4, Kuningan Tim, Kecamatan Setiabudi, Kota Jakarta Selatan 12950",-6.225896491,106.8335992,,10/24/2023 13:14,Tidak,,,
28,01.POSO.00.3275.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Rest Area KM.6 Jakarta - Cikampek,POSO,Jawa Barat,KOTA BEKASI,"JL Tol Jakarta - Bekasi Timur, RT 008/RW 004, Jatibening Baru, Kec. Pondokgede, Kota Bks, Jawa Barat 17412",-6.258680387,106.9282586,,10/24/2023 13:14,Tidak,,,
29,01.POSO.00.3174.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Kantor Pusat,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. Trunojoyo Blok M-I No.  135, RW 2, Melawai, Kec  Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibu Kota Jakarta 12160",-6.24059,106.80337,,10/24/2023 13:14,Tidak,,,
30,01.POSO.00.7371.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Makassar Selatan,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl Letjen Hertasning No.99, Tamalate, Rappocini, Bonto Makkio, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90222",-5164597,119.445451,,10/24/2023 13:14,Tidak,,,
31,07.ROSO.00.3172.004,PT STARVO GLOBAL ENERGI,SPKLU Pantai Indah Selatan,ROSO,DKI Jakarta,KOTA ADM. JAKARTA UTARA,Jl. Pantai Indah Selatan 1 Blok G No. 1,-6.12395,106.7398,,10/24/2023 13:14,Ya,,,
32,01.POSO.00.1471.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Pekanbaru,POSO,Riau,KOTA PEKANBARU,Jl. Dr Setia Budhi No.57 Pekanbaru,0.5360793,101.4509679,,10/24/2023 13:14,Tidak,,,
33,01.POSO.00.3671.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU UID Banten,POSO,Banten,KOTA TANGERANG,"Jl Jenderal Sudirman No.1 RT 005/RW 013, Sukarsari, Kec. Tangerang, Kota Tangerang, Banten 15118",-6.1844348,106.6424857,,10/24/2023 13:14,Tidak,,,
34,01.POSO.00.5271.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLLU PLN UP3 Mataram,POSO,Nusa Tenggara Barat,KOTA MATARAM,Jl Yos Sudarso No.2 Ampenan Mataram,-8.576518,116.0801977,,10/24/2023 13:14,Tidak,,,
35,01.POSO.00.6372.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UIW Kalselteng,POSO,Kalimantan Selatan,KOTA BANJARBARU,"Jl Panglima Batur No.1, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70711",-3.437541309,114.8250873,,10/24/2023 13:14,Tidak,,,
36,02.ROSO.00.3174.005,PERTAMINA RETAIL,SPBU Fatmawati 2,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. RS. Fatmawati Raya No.12, RT.4/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",-6.2755,106.7979,,10/24/2023 13:14,Tidak,,,
37,02.RLSO.00.3674.001,PERTAMINA RETAIL,Kantor Puspiptek Serpong BPPT,RLSO,Banten,KOTA TANGERANG SELATAN,"Gedung Teknologi Informasi, Komunikasi dan Elektronika, No. 254 Lt. 2 Kawasan PUSPIPTEK Serpong, Tangerang Selatan 15314",-6.2717,106.6773,,10/24/2023 13:14,Tidak,,,
38,02.RLSO.00.3174.006,PERTAMINA RETAIL,SPBU MT Haryono,RLSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"MT Haryono St, RT.11/RW.5, West Tebet, Jakarta Selatan, East Jakarta City, Jakarta 12810",-6.2394,106.2437,,10/24/2023 13:14,Tidak,,,
39,02.RLSO.00.3174.007,PERTAMINA RETAIL,SPBU Lenteng Agung,RLSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jalan Lenteng Agung Raya, RT.6/RW.2, Lenteng Agung, Jagakarsa, RT.6/RW.1, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",-6.3199,106.3183,,10/24/2023 13:14,Tidak,,,
40,02.RLSO.00.3671.003,PERTAMINA RETAIL,SPBU Soekarno Hatta,RLSO,Banten,KOTA TANGERANG,"RT.001/RW.010, Benda, Kota Tangerang, Banten 15126",-6.1136,106.1125,,10/24/2023 13:14,Tidak,,,
41,01.PPOO.01.3171.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Graha BNI,PPOO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"Graha BNI Sudirman, Jl. Jenderal Sudirman No.1 RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",-6.2032497,106.8209394,,10/24/2023 13:14,Tidak,,,
42,01.PPOO.01.3171.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Menara BNI,PPOO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"Menara BNI Pejompongan, Jl. Pejompongan Raya No.20, RT 01/RW 05",-6.2042528,106.8020611,,10/24/2023 13:14,Tidak,,,
43,01.POSO.00.7371.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,PT PLN (Persero) UP3 Makassar Utara ULP Mattoanging,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl DR Ratulangi, Mangkura, Makassar, Sulawesi Selatan",-5.148337,119.415817,,10/24/2023 13:14,Tidak,,,
44,01.POSO.00.3174.010,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU RS. Fatmawati Raya,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. RS. Fatmawati Raya No. 10, RT.1/RW.4, Cilandak Barat, Kec.Cilandak, Kota Jakarta Selatan, DKI Jakarta",-6.294171369,106.7947471,,10/24/2023 13:14,Tidak,,,
45,01.POSO.00.5171.008,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU P.B. Sudirman,POSO,Bali,KOTA DENPASAR,"Jl. P.B. Sudirman No.2, Dauh Puri, 
Kota Denpasar, Bali",-8.662901,115.217784,,10/24/2023 13:14,Tidak,,,
46,01.POSO.00.3374.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Teuku Umar,POSO,Jawa Tengah,KOTA SEMARANG,"Jl. Teuku Umar No 47, Karangrejo, Kota Semarang, Jawa Tengah",-7.70062,110.417828,,10/24/2023 13:14,Tidak,,,
47,01.POSO.00.3308.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kecamatan Borobudur,POSO,Jawa Tengah,KAB. MAGELANG,"Kecamatan Borobudur, Magelang, Jawa Tengah",-7.604928,110.208318,,10/24/2023 13:14,Tidak,,,
48,01.POSO.00.3671.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Aeropolis,POSO,Banten,KOTA TANGERANG,"Jl. Aeropolis, RT.001/RW.004, Banten, Kec. Neglasari, Kota Tangerang",-6.144711,106.631419,,10/24/2023 13:14,Tidak,,,
49,01.POSO.00.1218.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Jend. Sudirman,POSO,Sumatera Utara,KAB. SERDANG BEDAGAI,"Jl. Jend. Sudirman No. 287, Badak Bejuang, Kec. Tebing Tinggi Kota, Kota Tebing Tinggi, Sumatera Utara",3.333853027,99.16148842,,10/24/2023 13:14,Tidak,,,
50,01.POSO.00.1471.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Musyawaeah,POSO,Riau,KOTA PEKANBARU,"Jl. Musyawaeah RT.01/RW.09, Kelurahan Labuh Baru Barat, Kecamatan Payung Sekaki, Pekanbaru, Riau",0.5020538,101.4107796,,10/24/2023 13:14,Tidak,,,
51,01.POSO.00.5371.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU W.J Lalamentik,POSO,Nusa Tenggara Timur,KOTA KUPANG,"Jl. W. J Lalamentik No. 123 Oebufu, Oebobo, Kota Kupang",-10.1734342,123.6139419,,10/24/2023 13:14,Tidak,,,
52,01.PPOO.02.3171.006,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Gedung BRI,PPOO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"Gedung BRI, Jl Jenderal Sudirman No.Kav 44-46, RT 14/RW 1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",-6.216924,106.814392,,10/24/2023 13:14,Tidak,,,
53,01.POSO.00.6471.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU UIW  Kaltimra,POSO,Kalimantan Timur,KOTA BALIKPAPAN,"SPKLU PLN UIW Kaltimra, Jl. MT Haryono No. 384 Balikpapan",-1.244643,116.872218,,10/24/2023 13:14,Tidak,,,
54,01.POSO.00.1208.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU ULP Parapat,POSO,Sumatera Utara,KAB. SIMALUNGUN,"SPKLU ULP Parapat, Jl. Bangun Dolok Nomor 14, Girsang Sipangan Bolon, Simalungun, Sumut",2.6679088,98.9432221,,10/24/2023 13:14,Tidak,,,
55,01.POSO.00.1206.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU ULP Brastagi,POSO,Sumatera Utara,KAB. KARO,"SPKLU ULP Brastagi, Jl. Udara No.7, Gundaling I, Berastagi, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152",3.5907208,98.6490592,,10/24/2023 13:14,Tidak,,,
56,01.POSO.00.6472.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU EVC Merak Square,POSO,Kalimantan Timur,KOTA SAMARINDA,"SPKLU EVC Merak Square, Jl. Hasan Basri No. 53, Samarinda",-0.479913,117.153408,,10/24/2023 13:14,Tidak,,,
57,01.POSO.00.1372.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Solok,POSO,Sumatera Barat,KOTA SOLOK,"SPKLU PLN UP3 Solok, Jl. Prof. Dr Hamka No. 81",-0.80490271,100.6522886,,10/24/2023 13:14,Tidak,,,
58,01.POSO.00.1902.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Belitung,POSO,Kepulauan Bangka Belitung,KAB. BELITUNG,"SPKLU PLN UP3 Belitung, Jl. A. Yani No. 111, Perawas",-2.74255,107.661615,,10/24/2023 13:14,Tidak,,,
59,01.POSO.00.6172.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Singkawang,POSO,Kalimantan Barat,KOTA SINGKAWANG,"SPKLU PLN UP3 Singkawang, Jl. Alianyang No 71 Singkawang Kalimantan Barat 79123",0.911807613,108.9802601,,10/24/2023 13:14,Tidak,,,
60,01.POSO.00.6474.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Bontang,POSO,Kalimantan Timur,KOTA BONTANG,"SPKLU PLN UP3 Bontang, Jl. MT Haryono No. 12, Bontang",0.136528,117.4815218,,10/24/2023 13:14,Tidak,,,
61,01.POSO.00.7371.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kantor Gubernur Sulsel,POSO,Sulawesi Selatan,KOTA MAKASSAR,"SPKLU Kantor Gubernur Sulsel, Jl. Urip Sumoharjo No.269, Panaikang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan",-5.138229,119.452439,,10/24/2023 13:14,Tidak,,,
62,01.PPOO.03.3172.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU KFC Artha Gading,PPOO,DKI Jakarta,KOTA ADM. JAKARTA UTARA,"SPKLU KFC Artha Gading, Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",-6.147082,106.897397,,10/24/2023 13:14,Tidak,,,
63,01.PPOO.01.5103.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU BNI Crea,PPOO,Bali,KAB. BADUNG,"SPKLU BNI Crea,  Benoa, Kec. Kuta Selatan, Kabupaten Badung, Bali",-8.8013843,115.2305029,,10/24/2023 13:14,Tidak,,,
64,01.POSO.00.1472.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 DUMAI,POSO,Riau,KOTA DUMAI,"Jl. Jend. Sudirman No.185b, Bintan, Kota Dumai, Riau",1.6697639,101.4474867,9/9/2024 18:13,9/24/2024 11:30,Ya,,,
65,01.POSO.00.1871.013,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Mall Transmart Carrefour Bandar Lampung,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Sultan Agung No.283, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132",-5.382972,105.282115,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
66,01.POSO.00.1871.014,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Mall Transmart Carrefour Bandar Lampung,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Sultan Agung No.283, Way Halim Permai, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132",-5.382972,105.282115,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
67,01.POSO.00.1871.015,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU LAMPUNG CITY MALL,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Bumi Waras, Kota Bandar Lampung",-5.442692,105.28065,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
68,04.ROSO.00.3175.004,EXELLY ELEKTRIK INDONESIA,SPKLU Suvarna Jakarta Golf Club,ROSO,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,"Suvarna Jakarta Golf Club, Jl. Radar Selatan No.1 Kelurahan Halim Perdana Kusumah, Kecamatan Makasar",-6.28527,106.89464,,10/24/2023 13:14,Ya,,,
69,,SUMBER DAYA ALAMINDO,SPKLU TAMANSARI TERA RESIDENCE BANDUNG,ROSO,Jawa Barat,KOTA BANDUNG,"Jl. Tera No.28, Braga, Kec. Sumur Bandung, Jawa Barat",-6.915345404,107.6125905,2/3/2025 11:16,,Ya,,,
70,01.POSO.00.1871.016,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU MALL BOEMI KEDATON,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Teuku Umar No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132",-5.381324,105.259291,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
71,06.ROSO.00.3276.023,SUMBER DAYA ALAMINDO,Lotus Residence 22 kW,ROSO,Jawa Barat,KOTA DEPOK,"Jl. Boulevard Grand Depok City, Jatimulya, Kec. Cilodong, Kota Depok, Jawa Barat 16413",6.444657258,106.8289822,2/3/2025 14:39,,Ya,,,
72,06.ROSO.00.3214.019,SUMBER DAYA ALAMINDO,Prime Plaza Purwakarta 7 kW,ROSO,Jawa Barat,KAB. PURWAKARTA,"Jalan Kota Bukit Indah Raya No.Blok L, Cinangka, Kec. Bungursari",6.438556821,107.4632453,2/3/2025 11:22,,Ya,,,
73,01.POSO.00.1871.017,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU MALL BOEMI KEDATON,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. Teuku Umar No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132",-5.381324,105.259291,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
74,01.POSO.00.1807.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SRIBAWONO,POSO,Lampung,KAB. LAMPUNG TIMUR,"Jl. Raya No.93, Mataram Baru, Kec. Mataram Baru, Kabupaten Lampung Timur, Lampung 34199",-5.285328,105.756558,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
