Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
786,01.POSO.00.6408.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SANGATTA,POSO,Kalimantan Timur,KAB. KUTAI TIMUR,"Jl. Yos Sudarso IV, Swarga Bara, Kec. Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur 75683",0.5322764,117.5265311,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
787,01.POSO.00.6408.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SANGATTA,POSO,Kalimantan Timur,KAB. KUTAI TIMUR,"Jl. Yos Sudarso IV, Swarga Bara, Kec. Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur 75683",0.5322764,117.5265311,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
788,01.POSO.00.6409.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 NUSANTARA 4,POSO,Kalimantan Timur,KAB. PENAJAM PASER UTARA,"Jl. Negara, Bukit Raya, Kec. Sepaku, Kabupaten Penajam Paser Utara, Kalimantan Timur",-0.928413,116.752116,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
789,01.POSO.00.6571.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP TARAKAN,POSO,Kalimantan Utara,KOTA TARAKAN,"Jl. P. Diponegoro No. 01, Sebengkok, Kec. Tarakan Tengah, Kota Tarakan, Kalimantan Utara",3.30359,117.595076,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
790,01.POSO.00.6403.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 BERAU,POSO,Kalimantan Timur,KAB. BERAU,"Jl. SA Maulana No. 16, Tg Redeb, Kabupaten Berau, Kalimantan Timur 77315",2.153821,117.501336,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
791,01.POSO.00.6403.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU EVC SM TOWER,POSO,Kalimantan Timur,KAB. BERAU,"Jl. Teuku Umar RT 09, Tg Redeb, Kabupaten Berau, Kalimantan Timur 77315",2.143849,117.497872,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
792,01.POSO.00.6471.006,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 BALIKPAPAN,POSO,Kalimantan Timur,KOTA BALIKPAPAN,"Jl. Jend Sudirman 117 Kel Damai, Kec Balikpapan Selatan",-1.276355,116.833793,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
793,01.POSO.00.6472.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SAMARINDA ULU,POSO,Kalimantan Timur,KOTA SAMARINDA,"Jl. Tengkawang, Kel. Karang Anyar, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75127",-0.502319,117.114865,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
794,01.POSO.00.6472.005,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SAMARINDA SEBERANG,POSO,Kalimantan Timur,KOTA SAMARINDA,"Jl. Bung Tomo Kel Baqa, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75131",-0.50822,117.140297,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
795,01.POSO.00.6472.006,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP SAMARINDA SEBERANG,POSO,Kalimantan Timur,KOTA SAMARINDA,"Jl. Bung Tomo Kel Baqa, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75131",-0.50822,117.140297,9/9/2024 14:54,9/27/2024 10:16,Ya,,,
